experiment,method,budget_frac,enhanced_frame_frac,relative_cost,complete_folds,missing_folds,eligible_under_cost_cap,mean_HOTA,std_HOTA,mean_MOTA,std_MOTA,mean_IDF1,std_IDF1,mean_IDSW,std_IDSW,mean_Frag,std_Frag,mean_Dets,std_Dets,mean_IDs,std_IDs
cost_agent_cost_agent_b055,cost_agent,0.55,0.5467032967032966,2.64010989010989,5,,True,72.3854,2.5813070913783194,82.2142,2.6331657182942343,81.98400000000001,2.282170677228153,2636.6,502.30946636510845,1245.0,498.9774544004969,58079.8,17855.803193919895,4119.8,479.5254946298476
cost_agent_cost_agent_b060,cost_agent,0.6,0.599976110845676,2.799928332537028,5,,False,72.37620000000001,2.595773044778759,82.213,2.647241866547141,81.9298,2.320932506558516,2652.8,516.6523976524255,1246.8,497.107835383833,58098.2,17855.951016397867,4139.2,493.7060866548032
cost_agent_density_high_b050,density_high,0.5,0.4982083134257047,2.4946249402771143,5,,True,72.3332,2.5587594064311747,82.16799999999999,2.679602302581485,81.88759999999999,2.2294718657116963,2667.6,521.3471012674761,1263.4,483.6432569570261,58102.2,17863.01053014301,4144.4,496.77288573351103
cost_agent_cost_agent_b050,cost_agent,0.5,0.49964166268514093,2.498924988055423,5,,True,72.3226,2.589291563343148,82.1202,2.6834558315724117,81.8656,2.283135519411847,2662.4,517.938509863864,1258.6,498.6254105037167,58053.6,17871.188706966306,4141.6,498.0063252610352
cost_agent_density_high_b030,density_high,0.3,0.2970616340181558,1.8911849020544673,5,,True,72.313,2.563218289572701,82.1108,2.7176559200899573,81.87,2.2365709244287335,2660.4,539.6033728582504,1264.4,495.12351994224633,58056.8,17897.574533997617,4135.4,512.41809101553
cost_agent_density_high_b045,density_high,0.45,0.4476827520305781,2.3430482560917345,5,,True,72.311,2.5386476714975665,82.1592,2.6791288136258014,81.8418,2.195386002506163,2668.8,522.7166536470787,1258.4,490.60248674461485,58088.6,17874.48647653968,4145.2,498.757155337144
cost_agent_agent_v2_b050,agent_v2,0.5,0.4985666507405638,2.4956999522216914,5,,True,72.297,2.5897889875431934,82.0624,2.7426002807554726,81.8228,2.3281976290684594,2667.8,539.9932406984369,1264.8,495.85905255425155,58041.6,17895.97223679116,4152.2,520.1722791537435
cost_agent_density_high_b040,density_high,0.4,0.39811275680840896,2.1943382704252268,5,,True,72.2924,2.5504564885525918,82.1026,2.7271212477629216,81.8208,2.2270379880011024,2663.8,532.8618019712053,1271.6,488.5701587285085,58061.0,17887.238425760417,4140.4,504.8844422241588
cost_agent_agent_v2_b040,agent_v2,0.4,0.39906832298136646,2.1972049689440993,5,,True,72.2874,2.621293154151211,82.0436,2.7644958491558618,81.815,2.3375006951870625,2681.6,556.5710197270425,1283.0,496.8415240295441,58070.6,17881.298059704728,4161.2,528.582727678459
cost_agent_cost_agent_b040,cost_agent,0.4,0.39894887720974676,2.1968466316292403,5,,True,72.28479999999999,2.590151578576049,82.075,2.72338061974451,81.8234,2.2785930527410976,2670.2,546.1475990975333,1279.0,494.54575116969716,58061.4,17889.041975466433,4143.6,523.5439809605302
cost_agent_cost_agent_b030,cost_agent,0.3,0.2983755375059723,1.895126612517917,5,,True,72.26140000000001,2.605641245451876,82.0466,2.7494498176908047,81.78779999999999,2.27792267208525,2675.4,548.0230834554326,1275.6,502.6303810952935,58047.8,17894.393443198907,4149.0,523.4180929238117
